问题,选项A,选项B,选项C,选项D,正确答案
世界上使用人数最多的语言是:,英语,汉语,西班牙语,世界语,B
世界上海拔最高的山峰是哪一座?,乔戈里峰,珠穆朗玛峰,干城章嘉峰,公格尔山峰,B
"""鲁""是我国哪个省份的简称:",河北,吉林,山东,山西,C
《西游记》中的火焰山在哪里？,甘肃,青海,新疆,西藏,C
“刘三姐”是我国哪个少数民族民间传说中的人物？,壮族,苗族,维吾尔族,蒙古族,A
"""干冰""的成分是：",O2,H2O,SO2,,D
文艺复兴时期的《忏悔录》是谁写的？,卢梭,契科夫,高尔基,列夫托尔斯泰,A
中国古代名医华佗为谁所杀？,刘邦,项羽,孙权,曹操,D
被称为有野人出没的神农架在我国哪一省份？,河南,湖北,湖南,甘肃,B
UFO的具体涵义是：,不明固体,神秘的物体,未知的物体,不明飞行物,D
我国第一大岛是:,西沙群岛,台湾岛,澎湖列岛,钓鱼岛,B
哪个行星的表面与月球的表面是非常相似的？,木星,水星,土星,火星,B
“白马非马”出自谁口？,韩非,庄子,公孙龙,宋玉,C
大雁塔在哪里？,西宁,黑龙江,西安,白银,C
泼水节是我国哪一民族一年中最盛大的节日？,傣族,苗族,维吾尔族,蒙古族,A
被称为“瓷都”的是我国哪一城市？,贵阳,重庆,乌鲁木齐,景德镇,D
华夏民族是在哪儿诞生的？,黄河流域,长江流域,渭水,珠江,A
湖南湖北的“湖”是指？,鄱阳湖,西湖,太湖,洞庭湖,D
陕西乾陵武则天墓碑上有几个字？,三个字,无一字,五个字,四个字,B
中国古代提出“人性本善”的是：,孔子,荀子,老子,孟子,D
海底的珊瑚是：,植物,矿物,合成物,动物,D
有“东方瑞士”之称的城市是：,南宁,大理,昆明,拉萨,B
戚继光驱逐的是哪国侵略者？,高丽,日本,英国,泰国,B
科举制始于哪个朝代？,宋朝,明朝,隋唐,清朝,C
“凤雏先生”是谁？,诸葛亮,司马徽,庞统,诸葛瑾,C
《古兰经》是哪个教的圣书？,伊斯兰教,佛教,基督教,道教,A
在我国，自古就有“天府之国”美誉的地区是：,四川盆地,吐鲁番盆地,塔里木盆地,准噶尔盆地,A
